Dataset,Model,RMSE,MAE,MAPE,QLIKE
synthetic_sv_jump_t,HAR-RV,0.2189061722760001,0.1068663130512021,58.5054305967755,1167056232.6763098
synthetic_sv_jump_t,RGARCH-t,0.2557465343609961,0.1413276274371479,79.0469476182667,-0.5357684268300685
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.4151574009236439,0.2632227424926642,74.79675994521536,1.7017757679117236
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.415173886428878,0.2621776337292978,74.40000296091162,1.657316182969676
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.4392823308679368,0.2654574416196646,65.28510006817427,1.1976712371496616
synthetic_sv_jump_t,"GARCH(2,1)-t",0.4641083902436638,0.2979621350471232,86.85321890201404,5.970520772078868
synthetic_sv_jump_t,"GARCH(1,1)-t",0.4645129402566458,0.2979543483635434,86.71270826645086,5.935214203355708
synthetic_sv_jump_t,"GARCH(1,2)-t",0.4645129409401188,0.2979543336035585,86.71268702217479,5.935196481289112
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.4646313997207416,0.298049055860933,86.90518348417615,6.148392038286698
synthetic_sv_jump_t,"FIGARCH(1,1)-t",0.4646718025670902,0.298127334350754,86.67788786055254,5.944670216916072
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.4647713184043673,0.2982235107217201,86.8848763205768,6.0169717337245
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",0.4648973242889863,0.2981162153741522,86.7088671128136,5.948660026529535
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",0.4661137233124554,0.2988004087927632,86.83518893772431,6.063847658806058
synthetic_sv_jump_t,REGARCH-t,0.468509142407387,0.289165959849454,71.22567348692057,2.6703615150151743
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",0.4823000764803721,0.3073672501470625,88.18745558418073,8.197068837665828
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.5047628072441506,0.3562781673676533,260.38557313882893,-0.3777914434167407
