Dataset,Model,RMSE,MAE,MAPE,QLIKE
synthetic_sv_jump_t,Naive-RV,0.19642305913452382,0.08652820963319528,45.827310430533714,-0.6903641164492768
synthetic_sv_jump_t,HAR-RV,0.19881805080516132,0.09646670819210185,56.9272950723101,1190773486.9391298
synthetic_sv_jump_t,RGARCH-t,0.22630340322884712,0.12977312835522475,104.89955415066706,-0.6432999826251177
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.22637433446304284,0.13031913896517475,106.14216795699846,-0.642512512735497
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.32167535153184196,0.17724811310887817,84.52466702090948,-0.462329358164563
synthetic_sv_jump_t,REGARCH-t,0.3388229590814324,0.18769504789552127,84.15017874729554,-0.3783471199594255
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.39086629945061513,0.25117228717726,75.91270434934567,1.8388574433264235
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.39091147521029435,0.2504522821847117,75.55705511703464,1.809694747142361
synthetic_sv_jump_t,"GARCH(2,1)-t",0.43046266463728533,0.27973546567119967,87.16916745255155,5.9303165881945885
synthetic_sv_jump_t,"GARCH(1,2)-t",0.4309039012679462,0.2797427212222727,87.0008377674897,5.8876059391622935
synthetic_sv_jump_t,"GARCH(1,1)-t",0.4309041856890416,0.2797427354745844,87.00072514598224,5.887436381143957
synthetic_sv_jump_t,"FIGARCH(1,1)-t",0.43097600163423294,0.27986561309063823,86.99354176072121,5.902232499266145
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.4310520600841271,0.27981693923536566,87.17176763706927,6.079935150428904
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",0.431593022362915,0.28005528102218846,87.00906370538954,5.926307745867394
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.43641319053068645,0.282969212851356,87.93415490207592,6.674370965865585
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",0.43921931328990294,0.2844898562004491,88.07466107504337,6.920276054799373
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",0.4476288049241853,0.2887979401566247,88.72376264255982,8.349682531129586
