,Naive-RV,HAR-RV,"GARCH(1,1)-t","GARCH(1,2)-t","GARCH(2,1)-t","Generalized-GARCH(2,2)-t","GJR-GARCH(1,1)-t","Threshold-GARCH(1,1)-t","EGARCH(1,1)-t","EGARCH(2,1)-t","FIGARCH(1,1)-t","APGARCH/APARCH(1,1)-t","APGARCH/APARCH(2,1)-t",RGARCH-t,"ARMA(1,1)-RGARCH-t",REGARCH-t,"ARMA(1,1)-REGARCH-t"
1542,0.08002529787066513,0.10246842390359924,,,,,,,,,,,,0.18383773111263949,0.2711071861324967,0.024589706099636406,0.11896680258077745
1543,0.08097952433338683,0.10334328756190228,,,,,,,,,,,,0.175822504035464,0.26072791575059734,0.02346372545147437,0.11374207482219836
1544,0.08021240774747708,0.10266946986805968,,,,,,,,,,,,0.17763096930087424,0.26314399110385506,0.02252335245062817,0.11385628624747642
1545,0.07805285299167969,0.10072277984397718,,,,,,,,,,,,0.17615692857409065,0.2611963549282479,0.0229746270420189,0.11258751602331808
1546,0.07738286822391764,0.10009953253831572,,,,,,,,,,,,0.17196839394403354,0.25568259043532127,0.023180170023720394,0.11074196357299511
1547,0.07241405765504659,0.09554940503388569,,,,,,,,,,,,0.17064957809141768,0.2539603962396189,0.02111353069228351,0.10852186297609796
1548,0.04917780480972205,0.07435026518068683,,,,,,,,,,,,0.16095943085683578,0.24112334886866332,0.019954855976768444,0.10586773364062149
1549,0.03657018453582341,0.0628938809960333,,,,,,,,,,,,0.11446001850928593,0.17819106214018468,0.01864988295779967,0.09500648586402884
1550,0.052668340843373324,0.07764965320849723,,,,,,,,,,,,0.08805041015366308,0.14132613079296125,0.012498818419522025,0.07668756418731582
1551,0.0628154210657784,0.08693305442694876,,,,,,,,,,,,0.12125043974870614,0.18789927870059142,0.014584564566771149,0.08899136726046611
1552,0.06353897541644139,0.08758111609798792,,,,,,,,,,,,0.14179974840409945,0.2156979066399355,0.01706571353574536,0.09632934119587198
1553,0.05931591486039174,0.0836803481023854,0.00768187305491573,0.007572904593344562,0.007681874894117076,0.007573296526687238,0.007688491534697842,0.008900694407512257,0.00870338251821385,0.00827162890287973,0.007694683756211752,0.007726817152303475,0.00772652182020043,0.14333842185036066,0.21766735884642663,0.016298715774332034,0.09624805333281569
1554,0.0557783837963162,0.0803932685507194,0.007428409686530752,0.007392152617889,0.007428415800471771,0.007392477407352303,0.007434080813299755,0.008634823115797642,0.00852906058714059,0.008355680359515462,0.007441558630172336,0.007488422925130101,0.007488146325881453,0.13492377297636596,0.20627912147262362,0.015638559893369885,0.09545942388188851
1555,0.049240077440247436,0.07441320556133962,0.006953583627651614,0.006817868433582015,0.006953599254440297,0.006818226855098495,0.006958977694646432,0.00795339325195099,0.007747816499603232,0.007173898500456318,0.006967485205392801,0.006991718035188055,0.006991427829929601,0.1277788865524823,0.19659030741872166,0.014995359160720936,0.09279808648596267
1556,0.04939284964437877,0.07457682504159496,0.009736021548327848,0.010787812812840449,0.009735963255290948,0.010787813866464378,0.009734090728176178,0.009508645868830221,0.010109333496799345,0.012441043508205294,0.009744076195027221,0.009202766377965783,0.009202885035008549,0.11446771684437455,0.17833069384725456,0.014003505526230314,0.08924631162218623
1557,0.08620667511305095,0.10819077303454146,0.010984661390365252,0.010946908593203401,0.010984574559675848,0.010947837858602294,0.010986279635214874,0.011214720654645367,0.01181419726363754,0.012455559240583775,0.010990457849206733,0.010514404387830968,0.010514494035482269,0.1147230726716106,0.17874538186334785,0.014046578245400601,0.0918877643347378
1558,0.0983453314151958,0.11918827105083114,0.011092246352507662,0.011038192847823878,0.011092162423860775,0.01103877044578001,0.01109545935740894,0.011941708761421988,0.012431534038098525,0.012326406398252124,0.011098271317010956,0.010765334248691305,0.010765354962364073,0.187323985062025,0.27622168466233865,0.018560765697981686,0.09890421661581943
