Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_regime_garch,"GARCH(1,2)-t",0.05,-0.5205358063666077,-0.9586533086957555,0.06487148102815178,0.06487148102815178,0.2017997963892595,0.021615578856443583,817,53
synthetic_regime_garch,"EGARCH(2,1)-t",0.05,-0.5116966139106459,-0.9423744648766267,0.05507955936352509,0.05507955936352509,0.20263943992959005,0.01931693016377656,817,45
synthetic_regime_garch,"FIGARCH(1,1)-t",0.05,-0.5344493465876087,-0.9842774083357714,0.05507955936352509,0.05507955936352509,0.20295984883357143,0.01912611034275915,817,45
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",0.05,-0.4835402445622781,-0.8905198252792454,0.06119951040391677,0.06119951040391677,0.20300450950049004,0.019266043754738872,817,50
synthetic_regime_garch,"EGARCH(1,1)-t",0.05,-0.5122018202208193,-0.9433048863671333,0.056303549571603426,0.056303549571603426,0.2030568259540209,0.01787133778624405,817,46
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",0.05,-0.5119295455026044,-0.9428034471648759,0.06854345165238677,0.06854345165238677,0.203058995454071,0.02164056067044815,817,56
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",0.05,-0.5119246429639633,-0.942794418324147,0.06854345165238677,0.06854345165238677,0.20305909258585472,0.021639914095501894,817,56
synthetic_regime_garch,"GJR-GARCH(1,1)-t",0.05,-0.5184022878962933,-0.954724079398338,0.06731946144430845,0.06731946144430845,0.20318291638400368,0.021661421975713684,817,55
synthetic_regime_garch,"GARCH(2,1)-t",0.05,-0.5209948209999982,-0.9594986605268062,0.07221542227662178,0.07221542227662178,0.20346181612238706,0.02191848840350802,817,59
synthetic_regime_garch,"GARCH(1,1)-t",0.05,-0.5209916168134574,-0.9594927594840896,0.07221542227662178,0.07221542227662178,0.20346204947323254,0.021917714845991813,817,59
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",0.05,-0.5211706752996524,-0.9598225254831647,0.07711138310893513,0.07711138310893513,0.20391279180083385,0.023381252553369893,817,63
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",0.05,-1.2499590615763099,-2.302007614958264,0.00580046403712297,0.00580046403712297,0.28351866924141855,0.005388035330615766,862,5
synthetic_regime_garch,REGARCH-t,0.05,-1.3214876319071587,-2.4337393801418705,0.0034802784222737818,0.0034802784222737818,0.2928245806400024,0.004484002665216163,862,3
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",0.05,-1.697760052218128,-3.126707656848705,0.001160092807424594,0.001160092807424594,0.34854112143925126,0.0023738731386408894,862,1
synthetic_regime_garch,RGARCH-t,0.05,-2.988586332579885,-5.503979055828523,0.0,0.0,0.5558698036170548,0.0,862,0
synthetic_regime_garch,Naive-RV,0.05,-3.3730430819332935,-6.212020136404038,0.0,0.0,0.6203725787458332,0.0,862,0
synthetic_regime_garch,HAR-RV,0.05,-3.4067010014201924,-6.2740067960829435,0.0,0.0,0.6259755246638222,0.0,862,0
