Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_rough_long_memory,"EGARCH(2,1)-t",0.05,-0.191881999309011,-0.3253748596584234,0.03044496487119438,0.03044496487119438,0.0643541160998771,0.0032879695489610025,427,13
synthetic_rough_long_memory,"Threshold-GARCH(1,1)-t",0.05,-0.17818303657661239,-0.302145489042256,0.04215456674473068,0.04215456674473068,0.06535343380943867,0.003352511918596784,427,18
synthetic_rough_long_memory,"GARCH(1,2)-t",0.05,-0.19408805138917204,-0.3291156685334946,0.0351288056206089,0.0351288056206089,0.06535891165691383,0.0030836017258858905,427,15
synthetic_rough_long_memory,"Generalized-GARCH(2,2)-t",0.05,-0.19408557963290687,-0.3291114771692666,0.0351288056206089,0.0351288056206089,0.0653590620971664,0.003083084211392181,427,15
synthetic_rough_long_memory,"APGARCH/APARCH(1,1)-t",0.05,-0.18571231405712,-0.3149129065820546,0.04215456674473068,0.04215456674473068,0.06556781067133853,0.003469437859950645,427,18
synthetic_rough_long_memory,"APGARCH/APARCH(2,1)-t",0.05,-0.18571314269054132,-0.31491431169813705,0.04215456674473068,0.04215456674473068,0.06556786374293874,0.0034694589064305837,427,18
synthetic_rough_long_memory,"EGARCH(1,1)-t",0.05,-0.1925284483896985,-0.3264710452290472,0.0351288056206089,0.0351288056206089,0.06572917439968204,0.0028764543396894355,427,15
synthetic_rough_long_memory,"GARCH(1,1)-t",0.05,-0.1941946744336891,-0.3292964695376066,0.0351288056206089,0.0351288056206089,0.0658772222387424,0.0026983207437641377,427,15
synthetic_rough_long_memory,"GARCH(2,1)-t",0.05,-0.1941954456251225,-0.32929777724914455,0.0351288056206089,0.0351288056206089,0.06587731492417595,0.0026983103788530923,427,15
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",0.05,-0.19418283718396206,-0.3292763970791032,0.0351288056206089,0.0351288056206089,0.06587744579804836,0.002703088985182009,427,15
synthetic_rough_long_memory,"FIGARCH(1,1)-t",0.05,-0.19429854404990962,-0.32947260154541474,0.0351288056206089,0.0351288056206089,0.06588556970738589,0.002699847642013656,427,15
synthetic_rough_long_memory,REGARCH-t,0.05,-0.2668630052161807,-0.4525203676370191,0.0273972602739726,0.0273972602739726,0.07574472053233336,0.0023067705688189933,438,12
synthetic_rough_long_memory,"ARMA(1,1)-REGARCH-t",0.05,-0.2842177473028498,-0.48194885384829905,0.0273972602739726,0.0273972602739726,0.07739726893822571,0.0026830214251358057,438,12
synthetic_rough_long_memory,Naive-RV,0.05,-0.5589131067799994,-0.9477505671958856,0.00228310502283105,0.00228310502283105,0.10988453970925316,0.0002915957282758833,438,1
synthetic_rough_long_memory,HAR-RV,0.05,-0.5958791822027233,-1.0104340479085374,0.0,0.0,0.11457578669839508,0.0,438,0
synthetic_rough_long_memory,RGARCH-t,0.05,-0.6764306990542222,-1.1470254873620178,0.0,0.0,0.12586753848151752,0.0,438,0
synthetic_rough_long_memory,"ARMA(1,1)-RGARCH-t",0.05,-0.7171329728149763,-1.2160444503724903,0.0,0.0,0.1319030439525365,0.0,438,0
