Unnamed: 0,HAR-RV,"GARCH(1,1)-t","GARCH(1,2)-t","GARCH(2,1)-t","Generalized-GARCH(2,2)-t","GJR-GARCH(1,1)-t","Threshold-GARCH(1,1)-t","EGARCH(1,1)-t","EGARCH(2,1)-t","FIGARCH(1,1)-t","APGARCH/APARCH(1,1)-t","APGARCH/APARCH(2,1)-t",RGARCH-t,"ARMA(1,1)-RGARCH-t",REGARCH-t,"ARMA(1,1)-REGARCH-t"
1761,0.5818365760730881,,,,,,,,,,,,0.5531387274374991,0.7950288893230645,0.1202469550197253,0.1529003942412486
1762,1.4627714274325174,,,,,,,,,,,,0.5511603541304366,0.7861589020313722,0.1183485651550852,0.1507649199582448
1763,1.2239124632737255,,,,,,,,,,,,0.9627532668124436,1.554268538591378,0.2595743136863276,0.2785105782116441
1764,1.1906745247331023,,,,,,,,,,,,0.866696518156969,1.4339473349625271,0.1840460372825682,0.2150896448793313
1765,1.263670847619124,,,,,,,,,,,,0.8536180613637105,1.399575036426261,0.1485081562032797,0.1726400014329386
1766,1.4095821026430673,,,,,,,,,,,,0.8857539903893039,1.461801761966017,0.1482264533231772,0.1734428329386267
1767,1.4270178001483576,,,,,,,,,,,,0.946732292047128,1.5907192257342602,0.1625120756629161,0.1901747594230983
1768,1.4302586226817242,,,,,,,,,,,,0.9539595550847552,1.6151786494487517,0.1762074410320256,0.2182694291898084
1769,1.4027793581601171,,,,,,,,,,,,0.9559028212444446,1.6209497984746195,0.1737696291057683,0.2148643816604255
1770,1.3973497119660108,,,,,,,,,,,,0.9456665688430964,1.6001417308561134,0.1719992124495898,0.2133452585493005
1771,1.394210982204676,,,,,,,,,,,,0.9440541169575908,1.5953517234431986,0.1718629937543172,0.2135655225102862
1772,0.4666702367664385,0.0758308807390577,0.0758125197509411,0.0758309663727769,0.0758119091161468,0.0756969620969457,0.0461199679539328,0.0632534790382434,0.0631372232238939,0.075845564046328,0.0637004340228426,0.0637009361427097,0.9431356879546922,1.593116100274655,0.1718636824047876,0.2133433328781877
1773,0.3999890755749162,0.1248079075477541,0.1425469353929012,0.1248061684325345,0.1425360555548279,0.1244724964547035,0.0695447507424166,0.0997458429994701,0.1330334444764866,0.124714421851607,0.1034745359718409,0.1034749325339449,0.493760027515543,0.7216879419850948,0.1499088278147594,0.1927111810793015
1774,1.0012159722848812,0.117800917996471,0.1067830200878319,0.1177995905570574,0.1067913249254977,0.1174845673049233,0.0676336582270711,0.0967091492397767,0.0867948842755516,0.117731826019233,0.0982193944166931,0.0982198607758955,0.4485151010683776,0.6068163014868928,0.1237308636879453,0.1569617654130418
